shelf,N,published_radius,new_radius,relative_gain,kind,precision
ccq,57,0.059296796748175769239897558746,0.0592968049709888566957215525711,1.386721e-07,SMALL (unclear),hp
ccq,59,0.058229778872367047562758347311,0.0582299343019569523283627512728,2.669246e-06,NEW ARRANGEMENT,hp
ccq,63,0.056439910614597870967413316364,0.0564493874816213802081129360728,1.679107e-04,NEW ARRANGEMENT,hp
ccq,70,0.053838632742106852500240476249,0.0538386353477508725732307968972,4.839729e-08,SMALL (unclear),hp
ccq,78,0.050969656550876277737480334185,0.0509696947193451832769573886212,7.488469e-07,SMALL (unclear),hp
ccq,85,0.049029773123640570574387596041,0.049030789959823986079462526637,2.073916e-05,NEW ARRANGEMENT,hp
ccq,86,0.048718942595282814644415806633,0.0487202891831599312801800015462,2.763992e-05,NEW ARRANGEMENT,hp
ccq,87,0.048394069366077102053419807327,0.0484078039007909681113769351026,2.838062e-04,NEW ARRANGEMENT,hp
ccq,90,0.047690815763978770675769818572,0.0476918088525031412548722594061,2.082348e-05,NEW ARRANGEMENT,hp
ccq,92,0.047143089137604011316317166039,0.0471434236615112217868850787105,7.095927e-06,NEW ARRANGEMENT,hp
ccq,98,0.045753164215951218411157236927,0.0457547254584335678095687608431,3.412316e-05,NEW ARRANGEMENT,hp
ccq,99,0.045543244595615184739876255041,0.0455450578307380291892736512332,3.981348e-05,NEW ARRANGEMENT,hp
ccq,100,0.045421461297472835606397648395,0.0454217428594964798478309045131,6.198876e-06,NEW ARRANGEMENT,hp
ccq,105,0.044187434847504235562011350418,0.0442170242919726763838595957612,6.696348e-04,NEW ARRANGEMENT,hp
ccq,106,0.044021539019473353049777899203,0.0440220560741521727645928656323,1.174549e-05,NEW ARRANGEMENT,hp
ccq,108,0.043650810083632774908072229540,0.0436508586891548125956630416557,1.113508e-06,NEW ARRANGEMENT,hp
ccq,111,0.043146290244897913890471382024,0.0431464106614693998972010061952,2.790890e-06,NEW ARRANGEMENT,hp
ccq,112,0.042900591891557121480073940343,0.0429006536291878443151950695565,1.439086e-06,NEW ARRANGEMENT,hp
ccq,113,0.042796186715069609522420065930,0.0427980823350869699512959294187,4.429413e-05,NEW ARRANGEMENT,hp
ccq,114,0.042568121129894523227427201137,0.0425810197413447200152209226016,3.030111e-04,NEW ARRANGEMENT,float
ccq,115,0.042379410845075479510806140895,0.0423794319770346871754826312008,4.986374e-07,SMALL (unclear),hp
ccq,116,0.042207300576844288904254584632,0.0422137218096351500000000000002,1.521356e-04,NEW ARRANGEMENT,float
ccq,117,0.041999098154912066645377558893,0.042004621037800841694128011618,1.315000e-04,NEW ARRANGEMENT,float
ccq,118,0.041827105447510659508904074709,0.0418335912833851098594270442739,1.550630e-04,NEW ARRANGEMENT,float
ccq,120,0.041528702890877599133163133735,0.0415288142202436845224296739365,2.680781e-06,NEW ARRANGEMENT,hp
ccq,121,0.041343986760658147036947762851,0.0413451429872371453892538078181,2.796602e-05,NEW ARRANGEMENT,hp
ccq,122,0.041138228676572956727695854654,0.0411396593515756043306806853884,3.477726e-05,NEW ARRANGEMENT,hp
ccq,123,0.041010465996361532835978001803,0.041010477384819624,2.776964e-07,SMALL (unclear),float
ccq,124,0.040839089927107800350836839437,0.0408442361376937807711093025473,1.260119e-04,NEW ARRANGEMENT,hp
ccq,125,0.040665412126370336744932079773,0.0406665571760143083957714668336,2.815783e-05,NEW ARRANGEMENT,hp
ccq,127,0.040374700053353078211844978714,0.0403773879926698722487781946674,6.657484e-05,NEW ARRANGEMENT,hp
ccq,128,0.040224180670223725750051286983,0.0402350199831893163937879534194,2.694726e-04,REFINEMENT,hp
ccq,129,0.040096986299053851013745128894,0.0400970000810053345303718447072,3.437154e-07,SMALL (unclear),hp
ccq,132,0.039706823934972434809033287886,0.0397076879354143725130212473754,2.175950e-05,NEW ARRANGEMENT,hp
ccq,133,0.039571148531012335795435869060,0.0395725775202179016449945490661,3.611190e-05,NEW ARRANGEMENT,hp
ccq,134,0.039418708598368303843710418315,0.0394241775363024141567867592649,1.387397e-04,NEW ARRANGEMENT,hp
ccq,135,0.039228586335224107904497680509,0.0392322769534793032674984850189,9.407982e-05,NEW ARRANGEMENT,hp
ccq,136,0.039040377175033596131444600850,0.039067065070247078272932987586,6.835973e-04,NEW ARRANGEMENT,hp
ccq,137,0.038869939420518748988257412818,0.038870316290286037673393517358,9.695661e-06,NEW ARRANGEMENT,hp
ccq,138,0.038753806920383718788845877120,0.0387640861884675425869340803824,2.652454e-04,NEW ARRANGEMENT,hp
ccq,139,0.038630068470524239119782337252,0.0386399325374695246400803801404,2.553469e-04,NEW ARRANGEMENT,hp
ccq,140,0.038508217172066278583491662471,0.0385082738149431907327750707402,1.470930e-06,NEW ARRANGEMENT,hp
ccq,141,0.038360609675454577588528214836,0.0383610937853714681189950390586,1.261997e-05,NEW ARRANGEMENT,hp
ccq,142,0.038243452002782303647523987514,0.0382440686074770998534479292372,1.612314e-05,NEW ARRANGEMENT,hp
ccq,143,0.038140151285667893761278177377,0.0381421758983688240700938482934,5.308350e-05,NEW ARRANGEMENT,float
ccq,145,0.037880672872338656525556105053,0.0378809648300187248415727293748,7.707299e-06,NEW ARRANGEMENT,hp
ccq,147,0.037613632038206761060854006001,0.0376138897078727000000000000045,6.850433e-06,NEW ARRANGEMENT,float
ccq,148,0.037522960168921307510171809305,0.0375292965121110940265055943611,1.688658e-04,NEW ARRANGEMENT,hp
ccq,149,0.037419959581488897674409346897,0.0374224419297558379287119673147,6.633755e-05,NEW ARRANGEMENT,hp
ccq,201,0.032341139243844110976873340178,0.0323445457805140515472608342407,1.053314e-04,REFINEMENT,hp
ccq,202,0.032274625517629213419874041977,0.0322746729603605780913705725031,1.469970e-06,NEW ARRANGEMENT,hp
ccq,203,0.032216567844599663297748040092,0.0322169670840789977027660254396,1.239237e-05,NEW ARRANGEMENT,hp
ccq,204,0.032143450312414174543614473832,0.0321450335871155631253952052138,4.925653e-05,NEW ARRANGEMENT,float
ccq,205,0.032061898434788220527537408977,0.03206382549479277,6.010436e-05,NEW ARRANGEMENT,float
ccq,206,0.032005756775790694201734610015,0.0320075877465591500000000000056,5.720754e-05,NEW ARRANGEMENT,float
ccq,207,0.031921319034744407434386971252,0.0319213190459640498049505285333,3.514780e-10,SMALL (unclear),hp
ccq,208,0.031838380285333429121452062014,0.0318395756220286596222244954401,3.754389e-05,NEW ARRANGEMENT,hp
ccq,209,0.031770197444380545022008915611,0.0317708795864207688373598643879,2.147113e-05,REFINEMENT,hp
ccq,210,0.031724240846375833974275238852,0.0317267824610409110601262412511,8.011585e-05,NEW ARRANGEMENT,hp
ccq,211,0.031644979518215468277229306373,0.0316497419605852000000000000247,1.504960e-04,NEW ARRANGEMENT,float
ccq,212,0.031535876303173390828052907524,0.0315417166203918378304022128907,1.851960e-04,NEW ARRANGEMENT,float
ccq,213,0.031463656755278974547357818291,0.0314730105542627798058734754948,2.972890e-04,NEW ARRANGEMENT,hp
ccq,214,0.031393613119857380370400256274,0.0313969775959985022168511243753,1.071707e-04,NEW ARRANGEMENT,hp
ccq,215,0.031362274628565178292807517092,0.0313622849137702115313852885771,3.279483e-07,SMALL (unclear),hp
ccq,216,0.031276226227071457755570259890,0.0312767230889167000000000966384,1.588625e-05,NEW ARRANGEMENT,float
ccq,217,0.031234288981354551625977219975,0.0312344451708978954569700476216,5.000579e-06,REFINEMENT,hp
ccq,218,0.031172934296327957863744269453,0.0311743460139649734947493438607,4.528665e-05,NEW ARRANGEMENT,hp
ccq,219,0.031117914617647727699661564768,0.0311206083388116295060142270067,8.656496e-05,NEW ARRANGEMENT,hp
ccq,220,0.031034642599658221249627748165,0.0310384039583634354773399655777,1.211987e-04,NEW ARRANGEMENT,hp
ccq,221,0.030945798183216915640416119819,0.0309460580676030413360927487858,8.398051e-06,REFINEMENT,float
ccq,222,0.030867124485691030785727199447,0.0308704905983794,1.090517e-04,NEW ARRANGEMENT,float
ccq,223,0.030802108468218903911471402234,0.0308135159087801792034148816784,3.703461e-04,NEW ARRANGEMENT,hp
ccq,224,0.030713010890799945946843945397,0.03071875665988602269033426115,1.870793e-04,NEW ARRANGEMENT,hp
ccq,225,0.030638415845131143552309778385,0.0306570652212139126217049242277,6.086926e-04,NEW ARRANGEMENT,float
ccq,226,0.030544239678884971435947875531,0.0305442408380506726779226182001,3.795039e-08,REFINEMENT,float
ccq,227,0.030491980460813935979623274134,0.0304930757306976780540042848474,3.591993e-05,NEW ARRANGEMENT,float
ccq,228,0.030446503182072384174641514990,0.0304469709866643297303669494204,1.536481e-05,NEW ARRANGEMENT,hp
ccq,229,0.030389743945230429480309001555,0.0303929860150374007805811391565,1.066830e-04,NEW ARRANGEMENT,hp
ccq,230,0.030327668614238107898328761394,0.0303317431248086827951609681794,1.343496e-04,NEW ARRANGEMENT,float
ccq,231,0.030262707641186489881034414118,0.0302653921832807597085364529526,8.870793e-05,NEW ARRANGEMENT,hp
ccq,232,0.030185107209498609304012575521,0.0301857343725255076623700295646,2.077723e-05,NEW ARRANGEMENT,hp
ccq,233,0.030132018392993824431462111755,0.0301331062297356045578943826315,3.610235e-05,NEW ARRANGEMENT,hp
ccq,234,0.030072291534594748628529729973,0.0300750671022427712611204930781,9.229651e-05,NEW ARRANGEMENT,hp
ccq,235,0.030013466413265829751794139134,0.0300157086853659436883816571227,7.470887e-05,NEW ARRANGEMENT,hp
ccq,236,0.029958285434083185622239318163,0.0299613390219618706580608179091,1.019280e-04,NEW ARRANGEMENT,float
ccq,237,0.029900996522178801464063554202,0.0299027266299427381514547386253,5.786121e-05,NEW ARRANGEMENT,hp
ccq,238,0.029827790826800158507718326090,0.0298304554656569500000000001632,8.933410e-05,NEW ARRANGEMENT,float
ccq,239,0.029752691470288250271052981213,0.0297555994391523241465816899557,9.773801e-05,NEW ARRANGEMENT,float
ccq,240,0.029729958850170637028357161416,0.0297306373431363744259847221596,2.282186e-05,NEW ARRANGEMENT,hp
ccq,241,0.029652142689658777191183712633,0.0296521824536114654762794173907,1.341014e-06,NEW ARRANGEMENT,hp
ccq,242,0.029603574272423193052297738901,0.0296078148680791013527647795476,1.432461e-04,NEW ARRANGEMENT,hp
ccq,243,0.029575055260237009581374385454,0.0295758164380314987281669462629,2.573716e-05,NEW ARRANGEMENT,hp
ccq,244,0.029479641982531970795983786093,0.0294812596127674628676398059491,5.487279e-05,NEW ARRANGEMENT,hp
ccq,245,0.029434301223297864908324889617,0.0294353688737516965410492972267,3.627232e-05,NEW ARRANGEMENT,hp
ccq,246,0.029399858135174480431989864407,0.0293998686803176576571657624681,3.586801e-07,SMALL (unclear),hp
ccq,247,0.029313276455027973859518557167,0.02932573312991173,4.249499e-04,NEW ARRANGEMENT,float
ccq,248,0.029264275534136050833879170480,0.02927599151853245495373163555,4.003511e-04,NEW ARRANGEMENT,hp
ccq,249,0.029186869521409828909201209103,0.0291880874772742621528179840348,4.172958e-05,NEW ARRANGEMENT,hp
ccq,250,0.029135022807625028068733579941,0.02914950512002913,4.970757e-04,NEW ARRANGEMENT,float
ccq,251,0.029064485789349924015663160531,0.0290897246276429958479524785499,8.683738e-04,NEW ARRANGEMENT,hp
ccq,252,0.028992446477917760137558520814,0.0289941045107389800000000000013,5.718844e-05,NEW ARRANGEMENT,float
ccq,253,0.028931951607771604071277051243,0.028938306178440919481718475449,2.196385e-04,NEW ARRANGEMENT,hp
ccq,254,0.028903163657343623601809801592,0.0289031735946058959971157129796,3.438123e-07,SMALL (unclear),hp
ccq,255,0.028826910595817317580385681650,0.0288322911094450703217777513078,1.866490e-04,NEW ARRANGEMENT,hp
ccq,256,0.028775357303994211639544464647,0.0287804054891584132536259149807,1.754343e-04,NEW ARRANGEMENT,hp
ccq,257,0.028740518223450786767892539708,0.0287411527933337723955753502475,2.207928e-05,NEW ARRANGEMENT,hp
ccq,258,0.028675194763325213931599657321,0.0286768786524141933091921151684,5.872285e-05,NEW ARRANGEMENT,hp
ccq,259,0.028618312221257110647965320099,0.0286193855191913543144614167147,3.750389e-05,NEW ARRANGEMENT,hp
ccq,260,0.028579549321180630584186511116,0.0285833451378483853771124033639,1.328158e-04,NEW ARRANGEMENT,hp
ccq,261,0.028530694264293309806658858612,0.0285348575921663695160566217236,1.459245e-04,NEW ARRANGEMENT,hp
ccq,262,0.028462909046514130433804117907,0.0284685130357372700000006716157,1.968874e-04,NEW ARRANGEMENT,float
ccq,263,0.028413515977445579318098207685,0.0284164506627153910707043986275,1.032848e-04,NEW ARRANGEMENT,float
ccq,264,0.028384247152930005079118403281,0.0283854906373414038126807155946,4.380896e-05,NEW ARRANGEMENT,float
ccq,265,0.028332016886475537453048768513,0.0283417184873330110100482966263,3.424254e-04,NEW ARRANGEMENT,float
ccq,266,0.028278012352339868655072394711,0.0282808952040708741147972095123,1.019468e-04,NEW ARRANGEMENT,hp
ccq,267,0.028207342667237912699672150520,0.0282104054794343849942899292149,1.085821e-04,NEW ARRANGEMENT,hp
ccq,268,0.028169688389055924937667091338,0.0281733419931285051447498941349,1.296998e-04,NEW ARRANGEMENT,hp
ccq,269,0.028128464128321893028422624860,0.0281296741148708421002709407809,4.301645e-05,NEW ARRANGEMENT,hp
ccq,271,0.028006024648958657048299780157,0.0280062884745454466252189773215,9.420315e-06,NEW ARRANGEMENT,float
ccq,272,0.027974177081458299414150343488,0.0279789531286243050099726279527,1.707306e-04,NEW ARRANGEMENT,hp
