table,h,N,packomania_radius,status
crc_100,0.1,11,0.045643942682142794248922756314,newly proven (this work)
crc_100,0.1,12,0.042312238590422353175938879282,newly proven (this work)
crc_100,0.1,13,0.039712799117777202973428794132,newly proven (this work)
crc_100,0.1,14,0.037649019478642637583367116190,newly proven (this work)
crc_100,0.1,15,0.035985190969373898484256267118,newly proven (this work)
crc_100,0.1,16,0.034625486140018408805415896361,newly proven (this work)
crc_100,0.1,17,0.033500838578400603540269053317,newly proven (this work)
crc_100,0.1,18,0.032560541433392497309139877392,newly proven (this work)
crc_100,0.1,19,0.031766740293079279839820752073,newly proven (this work)
crc_100,0.1,20,0.031090744862968577007014920191,newly proven (this work)
crc_100,0.1,21,0.030510509541279720020277464557,newly proven (this work)
crc_100,0.1,22,0.030008880996422559890264688476,newly proven (this work)
crc_100,0.1,23,0.029572358793615755933758166187,newly proven (this work)
crc_100,0.1,24,0.029190205344862249065173969274,newly proven (this work)
crc_100,0.1,25,0.028853797638876881520527924879,newly proven (this work)
crc_100,0.1,26,0.028556148876199049515568134776,newly proven (this work)
crc_100,0.1,27,0.028291551193424638003773960773,newly proven (this work)
crc_100,0.1,28,0.028055305821173471855154755560,newly proven (this work)
crc_100,0.1,29,0.027843517146688891162356398880,newly proven (this work)
crc_100,0.1,30,0.027652934015977579434775963773,newly proven (this work)
crc_100,0.1,31,0.027480826327644507247191016635,newly proven (this work)
crc_100,0.1,32,0.027324888254563587920931388531,newly proven (this work)
crc_100,0.1,33,0.027183161743543284673001225005,newly proven (this work)
crc_100,0.1,34,0.027053975592314372536891208358,newly proven (this work)
crc_100,0.1,35,0.026935896591124938045092682779,newly proven (this work)
crc_100,0.1,36,0.026827690080607782519907373298,newly proven (this work)
crc_200,0.2,5,0.100000000000000000000000000000,single row (bold on Packomania)
crc_200,0.2,6,0.084524052577349764562923561227,newly proven (this work)
crc_200,0.2,7,0.075077640500378546463487396284,newly proven (this work)
crc_200,0.2,8,0.068958825895264200037012280989,newly proven (this work)
crc_200,0.2,9,0.064797003745975065702681339008,newly proven (this work)
crc_200,0.2,10,0.061850317545375803602987430032,newly proven (this work)
crc_200,0.2,11,0.059693491089449820242245977452,newly proven (this work)
crc_200,0.2,12,0.058070323909482229503460718766,newly proven (this work)
crc_200,0.2,13,0.056819747776422020642924518493,newly proven (this work)
crc_200,0.2,14,0.055836716635766173763732845739,newly proven (this work)
crc_200,0.2,15,0.055050511413105583784558276553,newly proven (this work)
crc_200,0.2,16,0.054412188832468264872991509398,newly proven (this work)
crc_200,0.2,17,0.053887046240469780235174544026,newly proven (this work)
crc_300,0.3,4,0.126631206038591402044816559535,newly proven (this work)
crc_300,0.3,5,0.107151991246211766023215091783,newly proven (this work)
crc_300,0.3,6,0.096688068540962573707868627546,newly proven (this work)
crc_300,0.3,7,0.090524980688874672231101900327,newly proven (this work)
crc_300,0.3,8,0.086624445513407986563879928173,newly proven (this work)
crc_300,0.3,9,0.084012779560868469248747528918,newly proven (this work)
crc_300,0.3,10,0.082183960607952947104467913022,newly proven (this work)
crc_300,0.3,11,0.080856054890725549128789228176,newly proven (this work)
crc_400,0.4,3,0.168629150101523960958649020633,newly proven (this work)
crc_400,0.4,4,0.136669234721606424128467239518,newly proven (this work)
crc_400,0.4,5,0.122291236000336485745322130030,newly proven (this work)
crc_400,0.4,6,0.114835192865495968749289508460,newly proven (this work)
crc_400,0.4,7,0.110533615595889603202655493362,newly proven (this work)
crc_400,0.4,8,0.107846155007274420463776511862,newly proven (this work)
crc_500,0.5,2,0.250000000000000000000000000000,single row (bold on Packomania)
crc_500,0.5,3,0.177124344467704704749192123181,prior (2x1 rectangle)
crc_500,0.5,4,0.151923788646684059708830487741,prior (2x1 rectangle)
crc_500,0.5,5,0.141101056459326447763018016141,prior (2x1 rectangle)
crc_500,0.5,6,0.135621722338523523745960615902,prior (2x1 rectangle)
crc_600,0.6,2,0.252277442494833886543030217200,prior (two circles)
crc_600,0.6,3,0.190033112945850060552663038611,newly proven (this work)
crc_600,0.6,4,0.170148518491376613990984224879,newly proven (this work)
crc_600,0.6,5,0.161906968533948391953240608944,newly proven (this work)
crc_700,0.7,2,0.258392021690038395743267170844,prior (two circles)
crc_700,0.7,3,0.205892565390258373770817432927,newly proven (this work)
crc_700,0.7,4,0.190231221598761233193745028355,newly proven (this work)
crc_800,0.8,2,0.267544467966324133600221291114,prior (two circles)
crc_800,0.8,3,0.223833696070628178173747954583,newly proven (this work)
